task,description,start,finish,duration,duration_hrs,note,category,date
theta,NA,2018-07-29T13:51:00Z,2018-07-29T14:17:00Z,00:26:14,0.4373774,NA,theta,2018-07-29
psi,NA,2018-07-29T14:24:00Z,2018-07-29T14:29:00Z,00:04:18,0.0717819,NA,psi,2018-07-29
theta,NA,2018-07-29T20:42:00Z,2018-07-29T20:51:00Z,00:09:09,0.1526172,NA,theta,2018-07-29
theta,NA,2018-07-29T20:56:00Z,2018-07-29T21:30:00Z,00:34:14,0.5706084,NA,theta,2018-07-29
community,NA,2018-07-30T04:51:00Z,2018-07-30T06:46:00Z,01:55:50,1.9306138,NA,psi,2018-07-30
review,NA,2018-07-30T07:37:00Z,2018-07-30T07:40:00Z,00:02:46,0.0463875,NA,psi,2018-07-30
psi,NA,2018-07-30T07:40:00Z,2018-07-30T07:58:00Z,00:17:51,0.297631,NA,psi,2018-07-30
review,NA,2018-07-30T07:58:00Z,2018-07-30T08:07:00Z,00:09:38,0.1605811,NA,psi,2018-07-30
community,NA,2018-07-30T08:07:00Z,2018-07-30T08:13:00Z,00:05:14,0.0873215,NA,psi,2018-07-30
psi,NA,2018-07-30T08:28:00Z,2018-07-30T08:43:00Z,00:15:11,0.2530603,NA,psi,2018-07-30
review,NA,2018-07-30T08:52:00Z,2018-07-30T08:54:00Z,00:01:42,0.0284979,NA,psi,2018-07-30
phi,NA,2018-07-30T09:43:00Z,2018-07-30T10:05:00Z,00:22:25,0.3736442,NA,phi,2018-07-30
review,NA,2018-07-30T10:05:00Z,2018-07-30T10:10:00Z,00:04:57,0.0825973,NA,psi,2018-07-30
review,NA,2018-07-30T11:40:00Z,2018-07-30T11:44:00Z,00:04:23,0.073055899999999993,NA,psi,2018-07-30
theta,NA,2018-07-30T12:10:00Z,2018-07-30T12:55:00Z,00:44:59,0.7499592,NA,theta,2018-07-30
review,NA,2018-07-30T12:55:00Z,2018-07-30T12:59:00Z,00:04:16,0.0711884,NA,psi,2018-07-30
theta,NA,2018-07-30T12:59:00Z,2018-07-30T13:20:00Z,00:20:59,0.3497933,NA,theta,2018-07-30
review,NA,2018-07-30T13:20:00Z,2018-07-30T13:23:00Z,00:03:29,0.0581151,NA,psi,2018-07-30
theta,NA,2018-07-30T13:23:00Z,2018-07-30T13:42:00Z,00:18:21,0.3058602,NA,theta,2018-07-30
psi,NA,2018-07-30T14:17:00Z,2018-07-30T14:37:00Z,00:20:38,0.3440449,NA,psi,2018-07-30
Blog  crafts,NA,2018-07-30T14:46:00Z,2018-07-30T15:26:00Z,00:40:14,0.6706172,NA,wellness,2018-07-30
phi,NA,2018-07-30T16:06:00Z,2018-07-30T16:26:00Z,00:19:49,0.3303548,NA,phi,2018-07-30
review,NA,2018-07-30T16:26:00Z,2018-07-30T16:33:00Z,00:06:41,0.1114776,NA,psi,2018-07-30
phi,NA,2018-07-30T16:33:00Z,2018-07-30T16:53:00Z,00:20:03,0.3341907,NA,phi,2018-07-30
