"","task","description","start","finish","duration","duration_hrs","note","category","date"
"1","theta",NA,2018-07-29 13:51:00,2018-07-29 14:17:00,00:26:14,0.4373774,NA,"theta",2018-07-29
"2","psi",NA,2018-07-29 14:24:00,2018-07-29 14:29:00,00:04:18,0.0717819,NA,"psi",2018-07-29
"3","theta",NA,2018-07-29 20:42:00,2018-07-29 20:51:00,00:09:09,0.1526172,NA,"theta",2018-07-29
"4","theta",NA,2018-07-29 20:56:00,2018-07-29 21:30:00,00:34:14,0.5706084,NA,"theta",2018-07-29
"5","community",NA,2018-07-30 04:51:00,2018-07-30 06:46:00,01:55:50,1.9306138,NA,"psi",2018-07-30
"6","review",NA,2018-07-30 07:37:00,2018-07-30 07:40:00,00:02:46,0.0463875,NA,"psi",2018-07-30
"7","psi",NA,2018-07-30 07:40:00,2018-07-30 07:58:00,00:17:51,0.297631,NA,"psi",2018-07-30
"8","review",NA,2018-07-30 07:58:00,2018-07-30 08:07:00,00:09:38,0.1605811,NA,"psi",2018-07-30
"9","community",NA,2018-07-30 08:07:00,2018-07-30 08:13:00,00:05:14,0.0873215,NA,"psi",2018-07-30
"10","psi",NA,2018-07-30 08:28:00,2018-07-30 08:43:00,00:15:11,0.2530603,NA,"psi",2018-07-30
"11","review",NA,2018-07-30 08:52:00,2018-07-30 08:54:00,00:01:42,0.0284979,NA,"psi",2018-07-30
"12","phi",NA,2018-07-30 09:43:00,2018-07-30 10:05:00,00:22:25,0.3736442,NA,"phi",2018-07-30
"13","review",NA,2018-07-30 10:05:00,2018-07-30 10:10:00,00:04:57,0.0825973,NA,"psi",2018-07-30
"14","review",NA,2018-07-30 11:40:00,2018-07-30 11:44:00,00:04:23,0.0730559,NA,"psi",2018-07-30
"15","theta",NA,2018-07-30 12:10:00,2018-07-30 12:55:00,00:44:59,0.7499592,NA,"theta",2018-07-30
"16","review",NA,2018-07-30 12:55:00,2018-07-30 12:59:00,00:04:16,0.0711884,NA,"psi",2018-07-30
"17","theta",NA,2018-07-30 12:59:00,2018-07-30 13:20:00,00:20:59,0.3497933,NA,"theta",2018-07-30
"18","review",NA,2018-07-30 13:20:00,2018-07-30 13:23:00,00:03:29,0.0581151,NA,"psi",2018-07-30
"19","theta",NA,2018-07-30 13:23:00,2018-07-30 13:42:00,00:18:21,0.3058602,NA,"theta",2018-07-30
"20","psi",NA,2018-07-30 14:17:00,2018-07-30 14:37:00,00:20:38,0.3440449,NA,"psi",2018-07-30
"21","Blog  crafts",NA,2018-07-30 14:46:00,2018-07-30 15:26:00,00:40:14,0.6706172,NA,"wellness",2018-07-30
"22","phi",NA,2018-07-30 16:06:00,2018-07-30 16:26:00,00:19:49,0.3303548,NA,"phi",2018-07-30
"23","review",NA,2018-07-30 16:26:00,2018-07-30 16:33:00,00:06:41,0.1114776,NA,"psi",2018-07-30
"24","phi",NA,2018-07-30 16:33:00,2018-07-30 16:53:00,00:20:03,0.3341907,NA,"phi",2018-07-30
"25","review",NA,2018-07-30 16:53:00,2018-07-30 16:58:00,00:05:17,0.0881688,NA,"psi",2018-07-30
"26","exercise",NA,2018-07-30 18:03:00,2018-07-30 19:15:00,01:12:00,1.2,NA,"wellness",2018-07-30
"27","psi",NA,2018-07-31 12:30:00,2018-07-31 13:09:00,00:39:01,0.6505259,NA,"psi",2018-07-31
"28","phi",NA,2018-07-31 15:28:00,2018-07-31 15:43:00,00:14:42,0.2450166,NA,"phi",2018-07-31
"29","psi",NA,2018-07-31 15:43:00,2018-07-31 15:45:00,00:01:29,0.0249164,NA,"psi",2018-07-31
"30","phi",NA,2018-07-31 15:45:00,2018-07-31 15:53:00,00:08:44,0.1456302,NA,"phi",2018-07-31
"31","review",NA,2018-07-31 15:53:00,2018-07-31 16:01:00,00:07:18,0.1217549,NA,"psi",2018-07-31
"32","psi",NA,2018-07-31 16:01:00,2018-07-31 16:08:00,00:07:25,0.1237073,NA,"psi",2018-07-31
"33","phi",NA,2018-07-31 16:08:00,2018-07-31 16:20:00,00:11:42,0.1950894,NA,"phi",2018-07-31
"34","phi",NA,2018-07-31 16:21:00,2018-07-31 17:06:00,00:44:40,0.7444733,NA,"phi",2018-07-31
"35","review",NA,2018-07-31 17:07:00,2018-07-31 17:08:00,00:01:15,0.0208491,NA,"psi",2018-07-31
"36","review",NA,2018-08-01 07:25:00,2018-08-01 07:28:00,00:02:55,0.0486232,NA,"psi",2018-08-01
"37","review",NA,2018-08-01 07:29:00,2018-08-01 07:34:00,00:05:07,0.0853191,NA,"psi",2018-08-01
"38","psi",NA,2018-08-01 08:43:00,2018-08-01 09:07:00,00:24:04,0.4012671,NA,"psi",2018-08-01
"39","psi",NA,2018-08-01 11:07:00,2018-08-01 11:24:00,00:16:30,0.2752328,NA,"psi",2018-08-01
"40","theta",NA,2018-08-01 11:29:00,2018-08-01 11:45:00,00:16:37,0.2770389,NA,"theta",2018-08-01
"41","review",NA,2018-08-02 12:48:00,2018-08-02 13:05:00,00:16:47,0.2798732,NA,"psi",2018-08-02
"42","psi",NA,2018-08-02 13:05:00,2018-08-02 13:19:00,00:13:22,0.2229122,NA,"psi",2018-08-02
"43","review",NA,2018-08-02 13:19:00,2018-08-02 13:26:00,00:07:03,0.1177566,NA,"psi",2018-08-02
"44","psi",NA,2018-08-02 13:26:00,2018-08-02 13:40:00,00:14:26,0.2406985,NA,"psi",2018-08-02
"45","theta",NA,2018-08-02 13:40:00,2018-08-02 13:46:00,00:06:09,0.1025483,NA,"theta",2018-08-02
"46","psi",NA,2018-08-02 13:46:00,2018-08-02 13:49:00,00:02:35,0.0431589,NA,"psi",2018-08-02
"47","psi",NA,2018-08-02 13:49:00,2018-08-02 14:22:00,00:33:26,0.5572895,NA,"psi",2018-08-02
"48","theta",NA,2018-08-02 14:31:00,2018-08-02 14:54:00,00:23:30,0.3916824,NA,"theta",2018-08-02
"49","review",NA,2018-08-03 08:42:00,2018-08-03 08:48:00,00:06:26,0.1072448,NA,"psi",2018-08-03
"50","psi",NA,2018-08-03 08:48:00,2018-08-03 09:28:00,00:39:53,0.6647867,NA,"psi",2018-08-03
"51","review",NA,2018-08-03 09:28:00,2018-08-03 09:36:00,00:07:54,0.1319103,NA,"psi",2018-08-03
"52","community",NA,2018-08-03 09:52:00,2018-08-03 12:08:00,02:16:04,2.2678242,NA,"psi",2018-08-03
"53","review",NA,2018-08-05 10:17:00,2018-08-05 10:20:00,00:02:36,0.0434616,NA,"psi",2018-08-05
"54","psi",NA,2018-08-05 10:20:00,2018-08-05 10:32:00,00:12:55,0.2155397,NA,"psi",2018-08-05
"55","phi",NA,2018-08-05 11:06:00,2018-08-05 11:29:00,00:23:26,0.3906453,NA,"phi",2018-08-05
"56","theta",NA,2018-08-05 11:29:00,2018-08-05 11:49:00,00:20:06,0.3352244,NA,"theta",2018-08-05
"57","review",NA,2018-08-05 11:49:00,2018-08-05 11:51:00,00:01:56,0.0324402,NA,"psi",2018-08-05
"58","psi",NA,2018-08-05 11:51:00,2018-08-05 12:06:00,00:14:56,0.2490816,NA,"psi",2018-08-05
"59","phi",NA,2018-08-05 14:41:00,2018-08-05 14:43:00,00:02:25,0.0405076,NA,"phi",2018-08-05
"60","phi",NA,2018-08-05 14:43:00,2018-08-05 14:44:00,00:01:19,0.0220934,NA,"phi",2018-08-05
"61","phi",NA,2018-08-05 14:44:00,2018-08-05 14:53:00,00:09:01,0.1503142,NA,"phi",2018-08-05
"62","phi",NA,2018-08-05 15:03:00,2018-08-05 15:09:00,00:05:52,0.0979075,NA,"phi",2018-08-05
"63","phi",NA,2018-08-05 15:15:00,2018-08-05 15:36:00,00:20:16,0.3379229,NA,"phi",2018-08-05
"64","phi",NA,2018-08-05 15:36:00,2018-08-05 15:40:00,00:04:13,0.070435,NA,"phi",2018-08-05
"65","review",NA,2018-08-05 15:40:00,2018-08-05 15:42:00,00:01:53,0.0315399,NA,"psi",2018-08-05
"66","theta",NA,2018-08-05 15:42:00,2018-08-05 16:02:00,00:20:35,0.3431015,NA,"theta",2018-08-05
"67","psi",NA,2018-08-05 16:10:00,2018-08-05 16:25:00,00:14:52,0.2478425,NA,"psi",2018-08-05
"68","review",NA,2018-08-05 16:38:00,2018-08-05 16:39:00,00:01:04,0.0178266,NA,"psi",2018-08-05
"69","phi",NA,2018-08-05 16:40:00,2018-08-05 17:01:00,00:20:15,0.3376618,NA,"phi",2018-08-05
"70","review",NA,2018-08-05 17:10:00,2018-08-05 17:11:00,00:01:39,0.0276986,NA,"psi",2018-08-05
"71","phi",NA,2018-08-05 17:11:00,2018-08-05 17:28:00,00:16:56,0.2823941,NA,"phi",2018-08-05
"72","phi",NA,2018-08-05 17:41:00,2018-08-05 17:42:00,00:01:29,0.024944,NA,"phi",2018-08-05
"73","review",NA,2018-08-06 09:12:00,2018-08-06 09:22:00,00:10:19,0.171974,NA,"psi",2018-08-06
"74","review",NA,2018-08-06 09:22:00,2018-08-06 09:26:00,00:04:05,0.0681999,NA,"psi",2018-08-06
"75","review",NA,2018-08-06 09:37:00,2018-08-06 09:41:00,00:04:01,0.0671321,NA,"psi",2018-08-06
"76","phi",NA,2018-08-06 09:41:00,2018-08-06 10:04:00,00:22:33,0.3759787,NA,"phi",2018-08-06
"77","phi",NA,2018-08-06 10:04:00,2018-08-06 10:19:00,00:15:26,0.2573969,NA,"phi",2018-08-06
"78","phi",NA,2018-08-06 10:20:00,2018-08-06 10:34:00,00:13:46,0.2296455,NA,"phi",2018-08-06
"79","review",NA,2018-08-06 10:34:00,2018-08-06 10:39:00,00:04:51,0.0810202,NA,"psi",2018-08-06
"80","phi",NA,2018-08-06 10:39:00,2018-08-06 10:47:00,00:07:46,0.1295655,NA,"phi",2018-08-06
"81","phi",NA,2018-08-06 12:49:00,2018-08-06 12:53:00,00:04:26,0.073978,NA,"phi",2018-08-06
"82","theta",NA,2018-08-06 12:54:00,2018-08-06 12:56:00,00:02:22,0.0396947,NA,"theta",2018-08-06
"83","phi",NA,2018-08-06 12:56:00,2018-08-06 13:13:00,00:17:19,0.288641,NA,"phi",2018-08-06
"84","review",NA,2018-08-06 13:15:00,2018-08-06 13:18:00,00:03:21,0.0559035,NA,"psi",2018-08-06
"85","theta",NA,2018-08-06 13:20:00,2018-08-06 13:33:00,00:13:07,0.2187368,NA,"theta",2018-08-06
"86","theta",NA,2018-08-06 15:11:00,2018-08-06 15:29:00,00:18:31,0.308749,NA,"theta",2018-08-06
"87","psi",NA,2018-08-06 15:33:00,2018-08-06 15:36:00,00:03:03,0.0510689,NA,"psi",2018-08-06
"88","psi",NA,2018-08-06 15:37:00,2018-08-06 15:46:00,00:08:43,0.145496,NA,"psi",2018-08-06
"89","psi",NA,2018-08-06 18:14:00,2018-08-06 18:16:00,00:01:53,0.0316134,NA,"psi",2018-08-06
"90","community",NA,2018-08-07 02:28:00,2018-08-07 02:36:00,00:07:16,0.1212012,NA,"psi",2018-08-07
"91","review",NA,2018-08-07 02:36:00,2018-08-07 02:44:00,00:08:24,0.1400766,NA,"psi",2018-08-07
"92","review",NA,2018-08-07 02:48:00,2018-08-07 03:03:00,00:15:50,0.2640042,NA,"psi",2018-08-07
"93","theta",NA,2018-08-07 03:12:00,2018-08-07 03:32:00,00:20:19,0.3387,NA,"theta",2018-08-07
"94","review",NA,2018-08-07 03:32:00,2018-08-07 03:34:00,00:01:14,0.020642,NA,"psi",2018-08-07
"95","phi",NA,2018-08-07 03:53:00,2018-08-07 04:13:00,00:19:36,0.326916,NA,"phi",2018-08-07
"96","review",NA,2018-08-07 04:13:00,2018-08-07 04:15:00,00:01:43,0.0286709,NA,"psi",2018-08-07
"97","theta",NA,2018-08-07 04:40:00,2018-08-07 05:08:00,00:27:38,0.460629,NA,"theta",2018-08-07
"98","psi",NA,2018-08-07 05:50:00,2018-08-07 05:53:00,00:03:02,0.0506185,NA,"psi",2018-08-07
"99","review",NA,2018-08-07 05:53:00,2018-08-07 06:15:00,00:21:53,0.3649343,NA,"psi",2018-08-07
"100","psi",NA,2018-08-07 06:15:00,2018-08-07 06:42:00,00:27:08,0.4523114,NA,"psi",2018-08-07
"101","review",NA,2018-08-07 06:42:00,2018-08-07 06:46:00,00:04:07,0.0686557,NA,"psi",2018-08-07
"102","psi",NA,2018-08-07 14:34:00,2018-08-07 14:43:00,00:08:22,0.1395421,NA,"psi",2018-08-07
"103","phi",NA,2018-08-07 15:04:00,2018-08-07 15:24:00,00:19:53,0.3316527,NA,"phi",2018-08-07
"104","review",NA,2018-08-07 15:25:00,2018-08-07 15:27:00,00:02:53,0.0480584,NA,"psi",2018-08-07
"105","theta",NA,2018-08-08 10:40:00,2018-08-08 11:08:00,00:28:01,0.4669984,NA,"theta",2018-08-08
"106","review",NA,2018-08-09 11:05:00,2018-08-09 11:10:00,00:04:51,0.0809861,NA,"psi",2018-08-09
"107","psi",NA,2018-08-09 11:10:00,2018-08-09 11:17:00,00:06:47,0.1132304,NA,"psi",2018-08-09
"108","psi",NA,2018-08-09 11:17:00,2018-08-09 11:28:00,00:11:28,0.191126,NA,"psi",2018-08-09
"109","community",NA,2018-08-09 12:03:00,2018-08-09 12:22:00,00:19:03,0.3176976,NA,"psi",2018-08-09
"110","review",NA,2018-08-09 12:22:00,2018-08-09 12:24:00,00:02:00,0.03357,NA,"psi",2018-08-09
